WaferNo,RecipeID,Time,CarrierPressure(psi),PlatenSpeed(rpm),CarrierSpeed(rpm),SlurryFlowRate(mL/min),ConditionerPressure(psi),ConditionerSpeed(rpm),PolishTime(sec),Temperature(C),RemovalRate(A/min),Uniformity(%),Status
Wafer #1,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2148,98.3,NORMAL
Wafer #2,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2152,98.3,NORMAL
Wafer #3,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2149,98.3,NORMAL
Wafer #4,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2151,98.3,NORMAL
Wafer #5,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2152,98.3,NORMAL
Wafer #6,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2155,98.3,NORMAL
Wafer #7,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2140,98.3,NORMAL
Wafer #8,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2147,98.3,NORMAL
Wafer #9,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2146,98.3,NORMAL
Wafer #10,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2151,98.3,NORMAL
Wafer #11,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2146,98.3,NORMAL
Wafer #12,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2146,98.3,NORMAL
Wafer #13,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2155,98.3,NORMAL
Wafer #14,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2159,98.3,NORMAL
Wafer #15,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2150,98.3,NORMAL
Wafer #16,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.2,2148,98.3,NORMAL
Wafer #17,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2146,98.3,NORMAL
Wafer #18,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2157,98.3,NORMAL
Wafer #19,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2148,98.3,NORMAL
Wafer #20,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2146,98.3,NORMAL
Wafer #21,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2149,98.3,NORMAL
Wafer #22,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2153,98.3,NORMAL
Wafer #23,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2160,98.3,NORMAL
Wafer #24,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.0,2145,98.3,NORMAL
Wafer #25,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2147,98.3,NORMAL
Wafer #26,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2152,98.3,NORMAL
Wafer #27,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2155,98.3,NORMAL
Wafer #28,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2149,98.3,NORMAL
Wafer #29,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2147,98.3,NORMAL
Wafer #30,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.0,2143,98.3,NORMAL
Wafer #31,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2152,98.3,NORMAL
Wafer #32,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2151,98.3,NORMAL
Wafer #33,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2154,98.3,NORMAL
Wafer #34,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2151,98.3,NORMAL
Wafer #35,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2156,98.3,NORMAL
Wafer #36,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2158,98.3,NORMAL
Wafer #37,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2153,98.3,NORMAL
Wafer #38,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.0,2147,98.3,NORMAL
Wafer #39,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2147,98.3,NORMAL
Wafer #40,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.2,2157,98.3,NORMAL
Wafer #41,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2151,98.3,NORMAL
Wafer #42,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2157,98.3,NORMAL
Wafer #43,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2150,98.3,NORMAL
Wafer #44,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2154,98.3,NORMAL
Wafer #45,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2143,98.3,NORMAL
Wafer #46,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2149,98.3,NORMAL
Wafer #47,RCP-001,14:32:47,3.5,60,60,200,3.0,80,60,41.1,2153,98.3,NORMAL
